Mã_Tin,Hãng_Xe,Dòng_Xe,Tên_Xe,Giá_Triệu_VNĐ,Giá_Gốc,Năm sản xuất,Tình trạng,Odo_Km,Xuất xứ,Động cơ,Hộp số,Màu ngoại thất,Số chỗ ngồi,Số cửa,Dẫn động,Tỉnh_Thành,Người_Bán,Điện_Thoại,Địa_Chỉ_Chi_Tiết,Website,Mô_Tả,URL,Kiểu dáng,Màu nội thất
6469876,Audi,Q5,Audi Q5 2.0 AT 2012,379,379 Triệu,2012,Xe đã dùng,130000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Auto Hoàng Thanh,0986 934 488,"132A Cổ Linh, Long Biên Hà Nội",autohoangthanh.bonbanh.com,"| | Bán xe: Audi Q5 2.0AT sản xuất 2012 nhập khẩu Đức, biển hà nội | lăn bánh 13 vạn kilomet chủ sử dụng kỹ bảo dưỡng rất đều đầy đủ nên xe còn cực chất ngon, máy êm gầm bệ chắc chắn điều hoà mát, số mượt | Đã vào màn androi xịn, camera lùi siêu nét, dán phim cách nhiệt xịn sò.. | Giá có thương lượng | | | |",https://bonbanh.com/xe-audi-q5-2.0-at-2012-6469876,SUV,Đen
6634959,Audi,Q5,Audi Q5 Sline 45 TFSI Quattro 2024,2079,2 Tỷ 79 Triệu,2024,Xe đã dùng,7000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,HTV Auto,0906 759 555,"9A Hoàng Quán Chi, Cầu Giấy Hà Nội",htvauto.bonbanh.com,"| | Mới về…Audi Q5 S Line45 TFSI Quattro sản xuất 2024 nhập nguyên chiếc lăn bánh đúng 7000km không khác gì xe mới…màu xanh District – Nội thất đen chất lượng xe tuyệt đối… | Cam kết xe không đâm đụng ngập nước, pháp lý chuẩn. | Bảo hành và hậu mãi sau bán. Giao xe toàn quốc. | Ngân hàng hỗ trợ 50% đến 70% giá trị xe. | Add : HTV AUTO 9A Hoàng Quán Chi, Dịch Vọng, Cầu Giấy, Hà Nội. | | | |",https://bonbanh.com/xe-audi-q5-sline-45-tfsi-quattro-2024-6634959,SUV,Đen
6655074,Audi,Q5,Audi Q5 45 TFSI Quattro 2021,1555,1 Tỷ 555 Triệu,2021,Xe đã dùng,38000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Minh Long Auto,0921 619 999,"199 Nguyễn Xiển, Thanh Xuân Hà Nội",minhlongauto.bonbanh.com,"| | Audi Q5 sx 2021 | 3V8 Km zin | -Options: Động cơ 2.0l, hộp số 7 cấp, ghế da phối nỉ cao cấp chỉnh điện đa hướng, loa cao cấp, đèn pha matrix led thông minh, màn hình giải trí, điều hòa đa vùng, cam 360, nội thất bọc da ốp gỗ cao cấp ... | | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | | Liên hệ để biết thêm thông tin xe | | | |",https://bonbanh.com/xe-audi-q5-45-tfsi-quattro-2021-6655074,SUV,Đen
6434954,Audi,Q5,Audi Q5 Sline 45 TFSI Quattro 2022,1775,1 Tỷ 775 Triệu,2022,Xe đã dùng,13000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Minh Long Auto,0921 619 999,"199 Nguyễn Xiển, Thanh Xuân Hà Nội",minhlongauto.bonbanh.com,"| | Audi Q5 Sline sx 2022 1V3 | Đến 2026 | ⚙️ Tính năng hỗ trợ vận hành như: | Hệ thống giải trí đa phương tiện MMI radio plus, điều khiển bằng giọng nói, kết nối iPod, AUX, USB và Bluetooth. | Hệ thống âm thanh Bang & Olufsen 16 kênh với 19 loa cho công suất lên đến 755W. | Điều hòa không khí tự động 3 vùng độc lập, với cửa gió cho hàng ghế sau cùng khả năng làm mát còn được tăng cường với kính chắn gió cách âm, cách nhiệt và màn che nắng cho hai cửa bên phía sau. | Hệ thống Start-stop với chìa khoá thông minh Smartkey. | Gương chiếu hậu bên trong trang viền và chống chói tự động. | Hệ thống lái trợ lực cơ điện. | Tái tạo năng lượng từ phanh. | Phanh tay cơ điện. | Hệ thống lựa chọn chế độ lái Audi. | Hệ thống giảm xóc năng động. | | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | | Liên hệ để biết thêm thông tin xe | | | |",https://bonbanh.com/xe-audi-q5-sline-45-tfsi-quattro-2022-6434954,SUV,Đen
6435471,Audi,Q5,Audi Q5 Sportback Sline 45 TFSI Quattro 2021,1689,1 Tỷ 689 Triệu,2021,Xe đã dùng,35000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Boss Car,0983 153 398,68 Lê Văn Lương Hà Nội,bosscar.bonbanh.com,"| | Audi Q5 S-Line siêu mới , Sx: 2021 - đăng kí lần đầu : 2022 . Màu Xanh rêu / nội thất ghi xám cực đẹp , Odo; 3v5 km | 1 chủ mua từ mới, bảo dưỡng full lịch sử hãng, chạy cực phê | | | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | | Liên hệ để biết thêm thông tin xe | | | |",https://bonbanh.com/xe-audi-q5-sportback-sline-45-tfsi-quattro-2021-6435471,SUV,Xám
6635111,Audi,Q5,Audi Q5 45 TFSI Quattro 2021,1680,1 Tỷ 680 Triệu,2021,Xe đã dùng,10000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Auto Chốt,0856 616 666,"3 Căn VILLA 05 - 06 - 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy ( Cạnh Công Viên Yên Hoà ) Hà Nội",autochot.bonbanh.com,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 45 TFSI Quattro sx 2021 xe chạy hơn 1vạnkm mới nhất Việt Nam zin 100% cả sơn .Xe Cam kết xe Zin không lỗi.Xe đẹp xuất sắc. | | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |",https://bonbanh.com/xe-audi-q5-45-tfsi-quattro-2021-6635111,SUV,Đen
6564044,Audi,Q5,Audi Q5 45 TFSI Quattro 2025,2079,2 Tỷ 79 Triệu,2025,Xe đã dùng,7000.0,Nhập khẩu,Hybrid 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Minh Long Auto,0921 619 999,"199 Nguyễn Xiển, Thanh Xuân Hà Nội",minhlongauto.bonbanh.com,"| | Audi Q5 Sline sản xuất 2025 đã đi 7000Km. Trang bị: động cơ xăng 2.0L tăng áp, kết hợp hệ thống mild hybrid, hộp số tự động 7 cấp S tronic và hệ dẫn động bốn bánh quattro. Xe sở hữu các tiện nghi như màn hình giải trí 10,1 inch, màn hình đồng hồ kỹ thuật số 12,3 inch (tùy phiên bản), hệ thống điều hòa tự động 3 vùng, và các tính năng an toàn như camera 360 độ, hỗ trợ đỗ xe tự động, và kiểm soát hành trình thích ứng... | | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | | Liên hệ để biết thêm thông tin xe | | | |",https://bonbanh.com/xe-audi-q5-45-tfsi-quattro-2025-6564044,SUV,Đen
6420854,Audi,Q5,Audi Q5 2.0 AT 2017,950,950 Triệu,2017,Xe đã dùng,110000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Trắng,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Salon Ô tô Hà Nội 1,0968 680 977,"Số 1B Nguyễn Văn Huyên, Cầu Giấy Hà Nội",otohanoi1.bonbanh.com,"| | Audi Q5 Sport TFSI Quattro sản xuất 2017 đăng ký lần đầu 2018 form mới 2018 | Màu trắng – Nội thất đen nguyên bản. | Trang bị option cao cấp: | • Hệ thống Quattro AWD danh tiếng | • Đèn LED ma trận thông minh | • Ghế da cao cấp chỉnh điện, nhớ vị trí | • Màn hình giải trí trung tâm + kết nối Apple CarPlay / Bluetooth | • Cảm biến trước sau + Camera lùi | • Điều hòa tự động 3 vùng | • Hệ thống âm thanh Audi cao cấp | • Gương chống chói, Cruise Control, phanh tay điện tử | • Chế độ lái đa dạng (Drive Select) | | Cam kết về chất lượng xe: | - Máy móc động cơ nguyên bản. Không lỗi điện, máy móc hoạt động hoàn hảo. | - Không đâm đụng tai nạn ảnh hưởng tới khung gầm sắt xi. | - Pháp lý rõ ràng, không phạt nguội, không tranh chấp | | | |",https://bonbanh.com/xe-audi-q5-2.0-at-2017-6420854,SUV,Đen
6435422,Audi,Q5,Audi Q5 Sportback Sline 45 TFSI Quattro 2021,1678,1 Tỷ 678 Triệu,2021,Xe đã dùng,30000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Auto Chốt,0856 616 666,"3 Căn VILLA 05 - 06 - 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy ( Cạnh Công Viên Yên Hoà ) Hà Nội",autochot.bonbanh.com,"| | AUTO CHỐT HÀ NỘI MỞ BÁN | | Nhập Team Nguyên Xe Mộc Audi Q5 Sportback Sline 45 TFSI Quattro Sx: 2021 đăng kí lần đầu 2022 Màu Xanh / nội thất ghi xám cực đẹp 1 chủ từ đầu chạy hơn 3vạnkm bảo dưỡng full lịch sử hãng cực mới...xe đẹp tuyệt đối | | Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. | | ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe. | | | |",https://bonbanh.com/xe-audi-q5-sportback-sline-45-tfsi-quattro-2021-6435422,SUV,Xám
6688204,Audi,Q5,Audi Q5 2.0 AT 2014,555,555 Triệu,2014,Xe đã dùng,130000.0,Nhập khẩu,Xăng 2.0 L,Số tự động,Xanh,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Hà Nội,Ngọc Anh,0961 865 865,Số 06 K,,"| | Audi Q5 2.0AT – SX 2014 | 1 chủ mua từ mới, odo 13 vạn km – xe giữ gìn kỹ | Zin nguyên bản, vận hành êm ái – hình thức còn rất đẹp | | Cam kết: | ✓ Xe zin 100%, không đâm va | ✓ Không ngập nước | ✓ Hồ sơ pháp lý rõ ràng – sang tên nhanh | | Xe đẹp xuất sắc, xem xe là ưng ngay! | | | |",https://bonbanh.com/xe-audi-q5-2.0-at-2014-6688204,SUV,Đen
