Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Tổng_Tiện_Ích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.7,1.308332819650179,18.0,2.9444389791664403,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.0,1.6094379124341003,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,1.7,0.9932517730102833,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,3.3,1.4586150226995167,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,2.0,1.0986122886681098,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,3.5,1.5040773967762742,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,4.0,1.6094379124341003,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,3.3,1.4586150226995167,28.0,3.367295829986474,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,3.0,1.3862943611198906,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,3.1,1.410986973710262,35.0,3.58351893845611,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,1.7,0.9932517730102833,15.25,2.7880929087757464,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.3,1.667706820558076,35.0,3.58351893845611,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,3.8,1.5686159179138452,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.0,1.6094379124341003,23.0,3.1780538303479458,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.0,1.0986122886681098,35.0,3.58351893845611,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.0,1.0986122886681098,15.0,2.772588722239781,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.0,0.6931471805599453,22.0,3.1354942159291497,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.2,1.1631508098056809,18.0,2.9444389791664403,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,2.2,1.1631508098056809,27.0,3.332204510175204,4,0,0,0,0,0,0,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.5,1.252762968495368,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
