Thành_Phố,Quận_Huyện,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,Liên Chiểu,2.7,1.308332819650179,18.0,2.9444389791664403,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,4.0,1.6094379124341003,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,1.7,0.9932517730102833,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,Cẩm Lệ,3.3,1.4586150226995167,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Ngũ Hành Sơn,2.0,1.0986122886681098,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Thanh Khê,3.5,1.5040773967762742,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,4.0,1.6094379124341003,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,3.3,1.4586150226995167,28.0,3.367295829986474,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Liên Chiểu,3.0,1.3862943611198906,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Cẩm Lệ,3.1,1.410986973710262,35.0,3.58351893845611,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Sơn Trà,1.7,0.9932517730102833,15.25,2.7880929087757464,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,4.3,1.667706820558076,35.0,3.58351893845611,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,3.8,1.5686159179138452,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,Hải Châu,4.0,1.6094379124341003,23.0,3.1780538303479458,1,0,1,1,1,1,1,1,1,1
